token,frequency
is industry,1
executed a heavy turnaround,1
ongoing optimization,1
had strong operating,1
demonstrated capacity,1
demonstrated strong execution,1
recognizes strong safety,1
investing capital,1
capture growth,1
providing export,1
including storage,1
refining marketing,1
expanding the hub,1
has an option,1
have access,1
planned storage,1
has an export,1
hub the pipeline,1
transports crude,1
has a capacity,2
facilitates the delivery,1
is an integral part,1
has a competitive cost,1
industryleading distribution,1
o u t,2
l l s,2
d g,2
ethylene andor polyethylene,1
expanding the capacity,1
furthermore the abundant supply,1
remain the costadvantaged feedstock,1
has a leading position,1
include integrated ethylene,1
evaluating additional capacity,1
maintain the integrity,1
integrated refining,1
industryleading global coking,1
yielding low production,1
have the capability,1
maximize costadvantaged crude,1
process a large proportion,1
has a clean product,1
including an industryleading,1
completed crude unit,1
provide ratable pullthrough,1
branded marketing,1
completed construction,2
produce private label,1
receive industry,1
completed a restructuring,1
create an integrated manufacturing,1
provide quality,1
including steel,1
implemented mobile pay,1
growing dividend,1
increased the quarterly dividend,1
form the basis,1
brings value,1
believe this investment,1
assembling equipment,1
hosting waste,1
received volunteer,1
is a direct stock,1
request an enrollment,1
receive future shareholder,1
request a change,1
making a request,1
wwwphillips0com the website,1
including news,1
wwwcpchemcom wwwdcpmidstreamcom wwwphillips0partnerscom,1
owned subsidiary,1
equal attention is,1
an industry facing,1
total recordable rate was,1
capability expected,1
cracker has consistently,1
capacity was recently,2
business delivered,1
organization is,2
excellence returnsfocused,1
common share adjusted,1
share adjusted,1
balance was,1
yearend was,1
allocation enables,1
capital is,1
debttocapital excluding,1
the company processes,1
master limited,2
partnership is,1
segment provides,1
transportation terminaling,1
this segment includes,1
segment consists,1
diverse portfolio is,1
strategy creates,1
progress executing,1
financial strength disciplined,1
capability pursuing,1
environmental record is,1
industry leading,1
fractionator operated,1
rate was,1
the cracker reached,1
average refining,1
strategy focuses,1
chain including,1
export complex strategically,1
the expansion expected,1
pipeline is,1
storage bringing,1
storage is,1
the terminal has,1
market hub,1
the pipeline is,1
capacity was,1
the project is,2
i e,2
i d,2
the pipeline has,1
the operator is,1
focus is,1
system is,1
percent including,1
cost advantaged,1
project is underway,1
business finished,1
strategy is,1
business focusing,1
the restructuring enables,1
repurchase program is,1
the year were,1
formation representing,1
this investment provides,1
payment are,1
wwwcomputersharecominvestor registered,1
website calling,1
the website includes,1
