token,frequency
orderly effective succession,1
planning,2
a diverse board,1
numerous shareholder,1
the extension,1
limited exception,1
comfort,1
reelection,1
the position,1
effective phasing,1
succession,1
departure,2
a significant deficiency,1
corporate knowledge,2
account,3
the independent evaluation,1
objectivity,1
objective judgment,1
the continuity,1
innate,1
understanding,4
coach,1
challenge management,2
overall governance,1
leadership,6
effective succession,1
the short term,1
banking,1
taxation,1
various senior management,1
the accounting,1
significant experience,2
the area,1
strategy,3
development,5
a champion,1
this area,2
bank,4
emerginggrowth,1
expertise,3
governance,3
extensive travel,1
the world,2
various executive,1
broad geopolitical insight,1
significant knowledge,1
the asian region,1
the boardroom,3
a number,5
chemical,1
engineering,1
a deep industry,1
proven management,1
career,6
total shareholder,1
the scrip dividend,1
the start,1
buyback,1
programme,1
the global challenge,1
a lowercarbon future,1
the introduction,1
a crossindustry,1
push,1
impact,1
natural gas,1
the acquisition,1
integration,1
an impressive reshaping,1
portfolio,1
a divestment programme,1
finance,4
regarded executive,1
a track,2
key business,1
cost,1
delivery,2
an external perspective,1
acquisition,1
debt,1
gearing,1
price,1
great enthusiasm clarity,1
discipline,1
flow,1
the 0th consecutive quarter,1
force,1
transparency,3
guidance,1
countrybycountry,1
a standard,1
chief,1
executive,1
an engineering,1
degree,1
several senior management,1
a broad industrial outlook,1
commercial approach,1
a practical perspective,1
strong operational exposure,1
familiarity,1
capitalintensive business,1
a firstclass,1
international perspective,1
the chemical,1
past experience,1
valuable insight,1
former executive,1
position,1
operational experience,1
a member,5
successor,1
member,9
both life,1
property,1
casualty,1
the initial period,1
nationalisation,1
several nonexecutive director,1
entire career,1
international business,2
exceptional value,1
a new perspective,1
long international business,1
an invaluable global perspective,1
this role,1
appraisal,1
a welcome addition,1
year,1
retirement,1
all oil,1
exploration,2
project,1
ease,1
a geopolitical outlook,1
deep understanding,2
the industry,1
an engineer,1
a significant part,1
important asset,1
a strong track,1
operational discipline,1
a focus,1
a continual drive,1
excellence,1
the technology,1
underpinning oil,1
procurement,1
supply,1
divestment,1
commitment,1
a senior british diplomat,1
a wide range,1
policy,7
education,1
public service,1
public policy,4
strategic outlook,1
a unique government,1
perspective,1
a complex range,1
external stakeholder,1
active external engagement,1
government,1
service,12
think,1
tank,1
university,1
the role,1
an adviser,2
the parliamentary party,1
head,1
a professor,1
an honorary doctorate,1
an economist,1
background,2
valuable understanding,1
international financial management,1
strategic development,1
seasoned leader,1
the public,1
public stakeholder,1
a global business,1
standpoint,1
the logic,1
inc,1
start,3
the merger,1
ceo,1
extensive knowledge,1
retail,1
retailing,1
customer,1
the digital arena,1
this experience,1
the growth,1
marketing,2
consumer,1
a balanced leader,1
sound,1
judgement,1
proven track,1
strategic delivery,1
former competitor,1
addition,3
a genuine passion,1
sustainability,1
the importance,1
stakeholder,1
experienced leader,1
early academic distinction,1
recovery,1
influential earth,1
geopolitical outlook,1
earth scientist,1
sustainable action,1
access,2
global development,1
a committed champion,1
gender,1
balance,1
social reform,1
an experienced global executive,1
operational leadership,1
new technologyenabled business,1
diverse sector,1
a large global organisation,1
straightforward,1
direct approach,1
strategic thinking,1
financial stewardship,1
a legacy,1
integrity,1
mentorship,1
the promotion,1
deep financial knowledge,1
robust demanding,1
constructive challenge,1
strategic intent,1
benefiting,1
a variety,1
employment,1
litigation,1
commercial practice,1
an important role,1
a strong understanding,1
broad understanding,1
the right time,1
anonymization,1
the evaluation,4
the guidance,1
discussion,1
observation,1
a set,1
agenda,1
colleague,1
each interview,1
team,1
the information,2
the report,1
a meeting,1
present,1
meeting,6
the performance,2
a whole,1
diligence,1
preparation,1
positive relationship,1
skill,1
coaching,1
feedback,1
realtime,1
regular contact,1
the formal annual process,1
attendance,4
the right,4
please,4
refer,1
the key agenda,1
a discussion,1
the table,1
an immovable commitment,1
proxy appointment,2
electronic proxy,2
inspection,3
physical attendance,3
electronic voting,1
a proxy,14
speak,4
the relevant section,1
an interest,1
uncertificated form,1
another thirdparty,1
nominee,1
intermediary company,1
indirect holder,1
person,6
a person,3
a right,2
a nominated person,2
an agreement,1
the registered shareholder,2
someone,1
any such agreement,1
the exercise,1
duly,1
the register,3
entitlement,1
the number,4
that time,1
such entitlement,1
uk time,1
proxy,5
each proxy,2
a different share,1
that shareholder,1
need,3
a proxy appointment,3
a participant,1
proxy form,1
any share,1
the proxy,2
any other business,1
no voting,2
each shareholder,1
attend,1
appoint,2
joint holder,1
the only vote,1
instruction,4
the vote,1
the joint holder,1
name,1
exercise,1
special software,1
the name,1
wish,3
give voting,2
broker,3
the website,4
wwwabnamrocomevoting,1
the validity,1
the instruction,2
ownership,1
hard copy,3
this time,2
a valid passport,2
identity,2
card,2
licence,2
a bank,1
telephone,1
corporation,1
home,1
any such webcast,1
the question,3
answer,1
the public health,1
the auditorium,1
photographs,4
the duration,2
the event,2
photo,2
library,2
print,2
the photographs,2
broadcast footage,2
