token,frequency
unit,76
megajoule,8
equal,27
joule,1
tonne,70
annum,6
standard,146
cubic,26
foot,22
daily,9
basis,171
calendar,6
bd,57
boed,20
kboed,2
mtpa,10
scfd,3
products,40
lng,72
lpg,3
ngl,73
miscellaneous,1
ads,27
earnings,250
supply,159
gastoliquids,7
liquefied,13
petroleum,10
liquid,36
depositary,38
meeting,145
capture,28
storage,41
dioxide,21
mediumterm,5
note,72
flow,242
final,32
accepted,5
principle,41
greenhouse,22
health,53
safety,172
security,100
producers,5
conservation,4
association,21
social,50
issue,67
mining,11
lease,120
prospecting,4
licence,50
productionsharing,12
remco,17
committee,118
securities,9
commission,6
recordable,6
frequency,10
return,49
vpower,2
trademark,10
organization,1
countries,2
accelerate,24
purposefully,8
profitably,10
value,322
dynamic,13
portfolio,120
disciplined,14
allocation,34
protecting,11
reducing,34
waste,26
making,46
positive,21
biodiversity,21
life,51
supporting,24
inclusive,12
underpinned,15
by,34
core,33
focus,122
working,109
sector,64
images,1
image,1
front,2
cover,24
represent,19
four,52
clockwise,2
top,11
generating,24
achieving,24
respecting,11
nature,45
wider,33
transformation,20
provider,15
service,140
powered,2
growth,68
customerfacing,4
achie,1
ving,1
ne,3
tze,1
ro,1
emissions,14
courage,3
covid,17
how,17
stepped,8
up,1
world,80
faced,9
exceptional,13
adversity,3
form,51
reveals,1
character,3
it,154
force,19
find,13
strength,25
never,5
knew,2
i,78
made,133
am,3
happy,1
too,1
right,126
lets,1
get,13
inspector,2
stay,8
home,34
analysing,4
gathered,1
robot,4
offer,33
expert,15
opinion,34
innovating,2
time,144
improved,32
productivity,6
struck,6
dedication,1
showed,7
face,18
virus,11
heard,4
remarkable,2
personal,32
niki,1
colleague,15
sweated,1
summer,3
rose,3
spread,8
surrounding,5
area,175
risked,4
catching,1
despite,20
precaution,2
taken,65
mitsubishi,1
but,13
wanted,1
ground,8
else,1
effective,70
job,20
asset,472
director,130
maintenance,19
engineering,17
his,13
word,2
worth,2
repeating,1
saw,4
pride,4
come,17
able,31
tell,2
family,8
helping,14
ensure,105
everyone,13
around,187
electricity,42
cooking,2
shift,15
superintendent,1
went,7
lockdown,21
regasification,6
facility,138
explain,5
yearold,1
son,1
he,43
told,1
