token,frequency
accuracy,5
completeness,2
recommended,6
final,13
dividend,122
per,37
tax,225
subject,37
forthcoming,3
scheduled,3
may,81
no,35
capitalisation,7
reserve,74
proposed,8
profit,204
distribution,72
misappropriation,3
controlling,20
related,129
party,36
nonoperating,2
violated,1
applicable,17
regulation,64
procedure,35
this,27
contain,3
forwardlooking,18
involve,6
future,60
plan,117
these,33
source,12
belief,5
reliable,4
they,10
relate,4
event,40
factor,34
uncertainty,14
cause,7
actual,17
result,83
differ,2
materially,5
any,5
mentioned,6
constitute,5
substantive,4
investor,33
investors,4
concerned,4
fully,17
aware,3
understand,3
difference,75
forecast,8
faced,2
arising,43
macroeconomic,18
environment,20
political,1
condition,43
different,26
daytoday,5
creditworthiness,3
borrower,33
adverse,9
price,59
operational,25
time,54
meet,26
actively,51
adopts,5
adequate,8
measure,42
manage,9
type,36
please,51
refer,63
section,28
detail,28
operating,108
income,410
eps,1
basic,29
roa,1
roe,1
net,181
margin,16
cost,132
ratio,122
calculated,40
nonperforming,25
loan,473
total,197
allowance,103
impairment,139
loss,297
note,50
ifrs,41
data,47
reflect,8
amount,485
noted,1
million,461
asset,680
expense,72
attributable,40
equity,166
holder,38
loans,55
gross,23
liability,272
earnings,10
average,52
tier,66
additional,18
adequacy,42
quality,42
creditimpaired,24
yearend,60
parity,4
starting,5
january,56
applied,11
instruments,17
comparative,6
previous,12
restated,4
accordingly,15
fee,58
trading,102
gainslosses,6
amortised,61
fair,289
include,49
distributed,24
instrument,241
issue,30
beginning,8
weighted,15
preparation,23
calculation,9
disclosure,52
return,27
revised,5
balance,75
interestearning,5
daily,11
derived,6
account,52
unaudited,15
noninterest,4
measures,3
formulated,13
mof,3
approach,35
provisional,12
yjhl,1
exclusive,9
accrued,18
used,53
calculate,9
end,84
credit,333
banks,84
中國銀行股份有限公司中國銀行,1
place,13
tower,16
representative,13
vice,58
secretary,28
address,19
fuxingmen,4
nei,5
dajie,6
beijing,21
telephone,5
facsimile,3
email,69
irbankofchinacom,4
affairs,1
yu,2
ke,1
website,27
httpwwwboccn,1
complaint,3
journal,2
publication,2
httpwwwssecomcn,1
httpwwwhkexnewshk,1
king,2
signed,10
feng,3
f,294
licence,1
serial,1
bh,2
second,25
pref,2
registered,17
beautiful,2
vigorous,2
spring,2
season,1
i,136
pleased,2
present,20
annual,56
according,43
achieved,20
billion,227
yearonyear,6
increase,126
onyear,1
prior,108
earlier,2
pending,1
guided,6
enabled,4
drove,3
delivered,4
enhanced,53
class,5
past,31
adhered,5
progress,29
ensuring,8
stability,5
focused,12
pushed,26
work,51
preventing,6
mitigating,5
deepening,10
advancing,5
implementation,46
promising,1
start,2
journey,1
towards,10
improved,83
efficiency,18
increased,29
wellspring,1
continued,494
adjust,1
refine,4
structure,47
mainly,46
granted,23
weak,2
link,4
resolutely,2
carried,22
symposium,1
enterprise,82
taking,29
supporting,18
enterprises,6
interaction,5
strictly,12
controlled,21
pricing,11
charge,6
accessible,1
affordable,1
micro,17
smallsized,16
our,8
higher,12
bankwide,6
took,13
firm,6
cut,3
overcapacity,5
reduce,15
excess,5
inventory,1
assist,6
deleveraging,3
lower,7
weakness,1
fall,4
practiced,2
concept,2
lucid,1
water,10
lush,1
mountain,1
invaluable,1
green,17
steadily,21
proactive,9
appropriate,22
manner,21
helped,7
highpotential,1
facing,1
temporary,23
survive,1
difficulty,9
marketbased,1
debtforequity,5
swap,25
volume,18
upholding,2
house,2
living,3
speculation,1
earnestly,23
implemented,33
housing,11
policy,129
differentiated,14
strongly,4
prevented,2
mitigated,4
sticked,1
thinking,2
combined,7
prevention,21
mitigation,14
consistently,4
reinforced,16
defence,8
stepped,11
disposing,1
last,6
worked,10
hard,3
perfect,2
internal,124
launched,36
file,2
assessment,57
consumer,21
protection,14
resulting,24
rating,44
thoroughly,1
executed,3
straighten,1
disorder,2
corrective,1
also,126
optimised,22
institutional,16
anti,1
laundering,8
counterterrorism,1
sanction,6
strengthened,62
antimoney,7
allround,10
accumulatively,2
project,33
along,21
road,60
maintaining,13
seminars,2
four,25
nine,5
deepen,5
cooperation,26
peopletopeople,1
ciie,5
supplydemand,5
matchmaking,7
conference,8
facilitated,3
reaching,4
intention,8
diligently,10
performed,20
targeted,11
poverty,28
alleviation,24
acted,6
decision,15
deployment,3
council,9
order,50
win,1
allout,1
input,18
resource,36
increasing,12
reach,7
brought,4
together,13
kind,4
home,6
abroad,7
engage,1
assigned,2
personnel,25
impoverished,6
county,8
village,12
rest,2
gratuitous,1
abreast,3
pressing,1
solid,14
played,7
larger,1
role,13
enabling,6
accelerated,21
smart,28
counter,19
carrier,1
digitalisation,1
whole,9
subscriber,1
exceeded,5
trillion,25
reputation,3
significantly,20
completed,21
cloud,4
ai,11
put,19
use,42
string,1
advisor,8
quantitative,8
integration,13
successfully,22
achieving,6
unified,6
centralised,9
around,5
innovationdriven,4
yielded,4
abundant,1
promoted,41
establishment,11
threelevel,1
executive,56
committee,75
formed,2
base,24
series,10
star,3
received,44
accumulator,2
deposit,98
campaign,7
expand,14
merchant,10
secured,19
thousand,3
resulted,1
ability,24
special,56
optimise,10
revenue,12
capitallight,2
behalf,14
debt,100
worldwide,7
coordinated,3
marketing,22
globalisation,3
commenced,2
wealth,29
provision,31
moved,2
replenishment,2
program,3
alongside,3
constant,5
flow,101
reforming,1
characteristic,15
primarylevel,3
outlet,37
incentive,10
restraint,2
intensifying,3
placing,4
emphasis,4
sought,4
cultivated,3
young,6
hosted,3
training,22
programme,19
sailing,3
placed,8
age,11
encouraged,3
challenging,1
frontline,1
